# Program:featureCounts v2.0.6; Command:"featureCounts" "-p" "-a" "../reference/GCF_000006745.1_ASM674v1_genomic.gff" "-o" "../counts/counts.txt" "-g" "ID" "sample_sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	sample_sorted.bam
exon-VC_RS13270-1	NC_002505.1	2931319	2931394	-	76	0
exon-VC_RS13275-1	NC_002505.1	2931400	2931475	-	76	0
exon-VC_RS13280-1	NC_002505.1	2931506	2931580	-	75	0
exon-VC_RS13285-1	NC_002505.1	2931600	2931675	-	76	0
exon-VC_RS13290-1	NC_002505.1	2931744	2933286	-	1543	2
exon-VC_RS13295-1	NC_002505.1	2933646	2933761	-	116	0
exon-VC_RS13300-1	NC_002505.1	2933891	2936778	-	2888	9
exon-VC_RS13305-1	NC_002505.1	2937121	2937196	-	76	0
exon-VC_RS13310-1	NC_002505.1	2937227	2937301	-	75	0
exon-VC_RS13315-1	NC_002505.1	2937321	2937396	-	76	0
exon-VC_RS13320-1	NC_002505.1	2937465	2939008	-	1544	2
exon-VC_RS16070-1	NC_002506.1	494884	494958	+	75	1
exon-VC_RS16960-1	NC_002506.1	699563	699636	-	74	0
exon-VC_RS16965-1	NC_002506.1	699661	699747	-	87	0
exon-VC_RS17000-1	NC_002506.1	704783	704856	-	74	0
